zipcode,lat,long,sqft_living,grade,condition,view,waterfront,yr_built,yr_renovated,bedrooms,bathrooms,recently_renovated,price
98178,47.5112,-122.257,1180,7,3,0,0,1955,0,3,1.0,0,221900.0
98125,47.721,-122.319,2570,7,3,0,0,1951,1991,3,2.25,0,538000.0
98028,47.7379,-122.233,770,6,3,0,0,1933,0,2,1.0,0,180000.0
98136,47.5208,-122.393,1960,7,5,0,0,1965,0,4,3.0,0,604000.0
98074,47.6168,-122.045,1680,8,3,0,0,1987,0,3,2.0,0,510000.0
98053,47.6561,-122.005,5420,11,3,0,0,2001,0,4,4.5,0,1225000.0
98003,47.3097,-122.327,1715,7,3,0,0,1995,0,3,2.25,0,257500.0
98198,47.4095,-122.315,1060,7,3,0,0,1963,0,3,1.5,0,291850.0
98146,47.5123,-122.337,1780,7,3,0,0,1960,0,3,1.0,0,229500.0
98038,47.3684,-122.031,1890,7,3,0,0,2003,0,3,2.5,0,323000.0
98007,47.6007,-122.145,3560,8,3,0,0,1965,0,3,2.5,0,662500.0
98115,47.69,-122.292,1160,7,4,0,0,1942,0,2,1.0,0,468000.0
98028,47.7558,-122.229,1430,7,4,0,0,1927,0,3,1.0,0,310000.0
98074,47.6127,-122.045,1370,7,4,0,0,1977,0,3,1.75,0,400000.0
98107,47.67,-122.394,1810,7,3,0,0,1900,0,5,2.0,0,530000.0
98126,47.5714,-122.375,2950,9,3,3,0,1979,0,4,3.0,0,650000.0
98019,47.7277,-121.962,1890,7,3,0,0,1994,0,3,2.0,0,395000.0
98103,47.6648,-122.343,1600,7,4,0,0,1916,0,4,1.0,0,485000.0
98002,47.3089,-122.21,1200,7,4,0,0,1921,0,2,1.0,0,189000.0
98003,47.3343,-122.306,1250,7,4,0,0,1969,0,3,1.0,0,230000.0
98133,47.7025,-122.341,1620,7,4,0,0,1947,0,4,1.75,0,385000.0
98040,47.5316,-122.233,3050,9,3,4,0,1968,0,3,2.75,0,2000000.0
98092,47.3266,-122.169,2270,8,3,0,0,1995,0,5,2.5,0,285000.0
98030,47.3533,-122.166,1070,7,3,0,0,1985,0,2,1.5,0,252700.0
98030,47.3739,-122.172,2450,8,4,0,0,1985,0,3,2.25,0,329000.0
98002,47.3048,-122.218,1710,6,5,0,0,1941,0,3,2.0,0,233000.0
98119,47.6386,-122.36,2450,8,3,0,0,1915,0,3,1.75,0,937000.0
98112,47.6221,-122.314,1400,8,5,0,0,1909,0,3,1.0,0,667000.0
98115,47.695,-122.304,1520,7,3,0,0,1948,0,3,1.75,0,438000.0
98052,47.7073,-122.11,2570,8,3,0,0,2005,0,4,2.5,0,719000.0
98027,47.5391,-122.07,2320,8,3,0,0,2003,0,3,2.5,0,580500.0
98133,47.7274,-122.357,1190,7,3,0,0,2005,0,2,1.5,0,280000.0
98117,47.6823,-122.368,2330,7,4,0,0,1929,0,4,1.75,0,687500.0
98117,47.6889,-122.375,1090,8,4,0,0,1929,0,3,1.0,0,535000.0
98058,47.4276,-122.157,2060,7,3,0,0,1981,0,4,2.75,0,322500.0
98115,47.6827,-122.31,2300,8,3,0,0,1930,2002,3,2.5,0,696000.0
98052,47.6621,-122.132,1660,5,1,0,0,1933,0,4,1.0,0,550000.0
98107,47.6702,-122.362,2360,8,4,0,0,1904,0,4,2.0,0,640000.0
98001,47.3341,-122.282,1220,7,2,0,0,1969,0,4,1.0,0,240000.0
98056,47.5301,-122.18,2620,8,3,0,0,1996,0,4,2.5,0,605000.0
98074,47.6145,-122.027,2570,9,3,0,0,2000,0,4,2.5,0,625000.0
98166,47.445,-122.347,4220,8,3,0,0,1984,0,4,2.25,0,775000.0
98053,47.6848,-122.016,3595,9,3,0,0,2014,0,5,2.75,0,861990.0
98119,47.6413,-122.364,1570,7,3,0,0,1922,0,3,1.0,0,685000.0
98058,47.4485,-122.175,1280,6,4,0,0,1959,0,3,1.0,0,309000.0
98019,47.7443,-121.977,3160,8,3,0,0,2003,0,3,2.5,0,488000.0
98023,47.3066,-122.371,990,6,3,0,0,1966,0,3,1.0,0,210490.0
98007,47.6194,-122.151,2290,9,4,0,0,1981,0,4,2.5,0,785000.0
98115,47.6796,-122.301,1250,7,4,0,0,1953,0,3,1.75,0,450000.0
98070,47.4041,-122.451,2753,9,5,2,1,1953,0,3,2.5,0,1350000.0
98148,47.4258,-122.322,1190,7,3,0,0,1955,0,3,1.0,0,228000.0
98056,47.4934,-122.189,3150,8,4,0,0,1966,0,5,2.5,0,345000.0
98117,47.6808,-122.384,1410,7,4,0,0,1950,0,3,1.75,0,600000.0
98117,47.6989,-122.369,1980,7,3,0,0,1981,0,2,1.75,0,585000.0
98105,47.6571,-122.281,2730,8,3,0,0,1927,0,5,2.25,0,920000.0
98105,47.6597,-122.29,2830,9,3,0,0,1995,0,4,2.5,0,885000.0
98042,47.3663,-122.114,2250,7,3,0,0,2008,0,4,2.5,0,292500.0
98042,47.3663,-122.122,2420,8,3,0,0,2003,0,3,2.5,0,301000.0
98008,47.588,-122.116,3250,8,4,4,0,1968,0,5,3.25,0,951000.0
98059,47.5059,-122.149,1850,8,3,0,0,1991,0,4,3.0,0,430000.0
98166,47.4336,-122.339,2150,8,4,3,0,1959,0,3,2.25,0,650000.0
98148,47.4366,-122.335,1260,7,3,0,0,1954,0,3,1.75,0,289000.0
98166,47.4428,-122.344,2519,8,5,0,0,1973,0,3,1.75,0,505000.0
98115,47.6765,-122.32,1540,8,3,0,0,2014,0,3,1.75,0,549000.0
98122,47.6113,-122.297,1660,7,3,0,0,1979,0,3,2.25,0,425000.0
98144,47.5747,-122.304,2770,7,5,0,0,1925,0,3,2.75,0,317625.0
98004,47.5815,-122.192,2720,10,3,0,0,1989,0,4,2.5,0,975000.0
98001,47.3378,-122.257,2240,7,3,0,0,2005,0,4,2.5,0,287000.0
98042,47.3621,-122.11,1000,7,4,0,0,1968,0,3,1.0,0,204000.0
98004,47.6303,-122.215,3200,8,3,0,0,1965,0,5,2.25,0,1325000.0
98005,47.6525,-122.16,4770,11,4,0,0,1973,0,5,3.25,0,1040000.0
98034,47.7362,-122.179,1260,7,4,0,0,1972,0,3,2.0,0,325000.0
98125,47.7168,-122.287,2750,7,5,0,0,1916,0,4,2.0,0,571000.0
98038,47.3608,-122.036,2380,8,3,0,0,2005,0,4,2.5,0,360000.0
98042,47.3511,-122.073,1790,7,5,0,0,1965,0,3,1.75,0,349000.0
98075,47.5822,-121.987,3430,10,4,0,0,1986,0,4,4.0,0,832500.0
98008,47.6034,-122.125,1760,7,3,0,0,1956,0,4,1.75,0,380000.0
98116,47.5636,-122.394,1040,7,3,0,0,1941,0,3,1.0,0,480000.0
98133,47.7073,-122.34,1410,7,4,0,0,1956,0,3,1.0,0,410000.0
98010,47.342,-122.025,3450,10,3,0,0,2002,0,4,2.5,0,720000.0
98038,47.3512,-122.008,2350,8,3,0,0,2003,0,3,2.5,0,390000.0
98038,47.349,-122.031,1900,7,3,0,0,1992,0,4,2.5,0,360000.0
98118,47.5474,-122.291,2020,7,3,0,0,1948,0,2,1.0,0,355000.0
98059,47.4811,-122.149,1680,8,3,0,0,1964,0,3,1.5,0,356000.0
98125,47.7264,-122.31,960,6,3,0,0,1952,0,3,1.0,0,315000.0
98119,47.6337,-122.365,2140,9,3,0,0,1925,0,3,1.5,0,940000.0
98092,47.2909,-122.189,2660,7,5,0,0,1961,0,5,2.25,0,305000.0
98056,47.5228,-122.199,2770,9,3,0,0,2006,0,3,3.25,0,461000.0
98056,47.518,-122.194,1610,7,4,0,0,1979,0,2,2.25,0,215000.0
98136,47.5394,-122.387,1030,7,3,0,0,2006,0,2,1.75,0,335000.0
98023,47.2897,-122.372,1980,7,3,0,0,1988,0,4,2.5,0,243500.0
98199,47.6506,-122.391,3520,10,4,0,0,2001,0,5,2.75,0,1099880.0
98023,47.322,-122.351,1200,7,3,0,0,1962,0,3,1.0,0,153000.0
