bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,month_sold,house_age,years_since_reno,recently_renovated,has_basement,sqft_vs_neighbors,dist_to_seattle,top_grade,grade_x_sqft,basement_ratio,zip_median_price
3,1.0,1180,5650,1.0,0,0,3,7,1180,0,47.5112,-122.257,1340,5650,10,60,60,0,0,-160,0.12109917423334716,0,8260,0.0,278277.0
3,2.25,2570,7242,2.0,0,0,3,7,2170,400,47.721,-122.319,1690,7639,12,64,24,0,1,880,0.11554501287376615,0,17990,0.1556420233463035,425000.0
2,1.0,770,10000,1.0,0,0,3,6,770,0,47.7379,-122.233,2720,8062,2,82,82,0,0,-1950,0.16482020507206982,0,4620,0.0,445000.0
4,3.0,1960,5000,1.0,0,0,5,7,1050,910,47.5208,-122.393,1360,5000,12,50,50,0,1,600,0.10489027600307113,0,13720,0.4642857142857143,489950.0
3,2.0,1680,8080,1.0,0,0,3,8,1680,0,47.6168,-122.045,1800,7503,2,28,28,0,0,-120,0.28729561430693157,0,13440,0.0,642000.0
4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,47.6561,-122.005,4760,101930,5,14,14,0,1,660,0.33088430002041663,1,59620,0.2822878228782288,634900.0
3,2.25,1715,6819,2.0,0,0,3,7,1715,0,47.3097,-122.327,2238,6819,6,20,20,0,0,-523,0.2965438584762818,0,12005,0.0,267475.0
3,1.5,1060,9711,1.0,0,0,3,7,1060,0,47.4095,-122.315,1650,9711,1,52,52,0,0,-590,0.19744189018544145,0,7420,0.0,265000.0
3,1.0,1780,7470,1.0,0,0,3,7,1050,730,47.5123,-122.337,1780,8113,4,55,55,0,1,0,0.09402776185786654,0,12460,0.4101123595505618,305000.0
3,2.5,1890,6560,2.0,0,0,3,7,1890,0,47.3684,-122.031,2390,7570,3,12,12,0,0,-500,0.38367961895309816,0,13230,0.0,342000.0
3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,47.6007,-122.145,2210,8925,4,50,50,0,1,1350,0.18718082166717914,0,28480,0.47752808988764045,555000.0
2,1.0,1160,6000,1.0,0,0,4,7,860,300,47.69,-122.292,1330,6000,5,73,73,0,1,-170,0.0929002152849984,0,8120,0.25862068965517243,567000.0
3,1.0,1430,19901,1.5,0,0,4,7,1430,0,47.7558,-122.229,1780,12697,5,88,88,0,0,-350,0.1816859102957612,0,10010,0.0,445000.0
3,1.75,1370,9680,1.0,0,0,4,7,1370,0,47.6127,-122.045,1370,10208,10,38,38,0,0,0,0.28717357120737486,0,9590,0.0,642000.0
5,2.0,1810,4850,1.5,0,0,3,7,1810,0,47.67,-122.394,1360,4850,3,115,115,0,0,450,0.08889347557611368,0,12670,0.0,529950.0
4,3.0,2950,5000,2.0,0,3,3,9,1980,970,47.5714,-122.375,2140,4000,1,36,36,0,1,810,0.0552399312092308,0,26550,0.3288135593220339,395750.0
3,2.0,1890,14040,2.0,0,0,3,7,1890,0,47.7277,-121.962,1890,14018,7,21,21,0,0,0,0.3895333875292267,0,13230,0.0,401250.0
4,1.0,1600,4300,1.5,0,0,4,7,1600,0,47.6648,-122.343,1610,4300,5,99,99,0,0,-10,0.059605117229982525,0,11200,0.0,550000.0
2,1.0,1200,9850,1.0,0,0,4,7,1200,0,47.3089,-122.21,1060,5095,12,94,94,0,0,140,0.32139648411269334,0,8400,0.0,235000.0
3,1.0,1250,9774,1.0,0,0,4,7,1250,0,47.3343,-122.306,1280,8850,4,46,46,0,0,-30,0.27314981237409114,0,8750,0.0,267475.0
4,1.75,1620,4980,1.0,0,0,4,7,860,760,47.7025,-122.341,1400,4980,5,68,68,0,1,220,0.09671039240950183,0,11340,0.4691358024691358,375000.0
3,2.75,3050,44867,1.0,0,4,3,9,2330,720,47.5316,-122.233,4110,20336,8,47,47,0,1,-1060,0.12404019509819851,0,27450,0.2360655737704918,993500.0
5,2.5,2270,6300,2.0,0,0,3,8,2270,0,47.3266,-122.169,2240,7005,7,20,20,0,0,30,0.32369394495418224,0,18160,0.0,309780.0
2,1.5,1070,9643,1.0,0,0,3,7,1070,0,47.3533,-122.166,1220,8386,5,30,30,0,0,-150,0.30256837243836643,0,7490,0.0,282255.0
3,2.25,2450,6500,2.0,0,0,4,8,2450,0,47.3739,-122.172,2200,6865,11,30,30,0,0,250,0.2821263901162048,0,19600,0.0,282255.0
3,2.0,1710,4697,1.5,0,0,5,6,1710,0,47.3048,-122.218,1030,4705,11,74,74,0,0,680,0.32227437068435816,0,10260,0.0,235000.0
3,1.75,2450,2691,2.0,0,0,3,8,1750,700,47.6386,-122.36,1760,3573,6,100,100,0,1,690,0.04275710467278917,0,19600,0.2857142857142857,744975.0
3,1.0,1400,1581,1.5,0,0,5,8,1400,0,47.6221,-122.314,1860,3861,12,106,106,0,0,-460,0.024091907354964845,0,11200,0.0,915000.0
3,1.75,1520,6380,1.0,0,0,3,7,790,730,47.695,-122.304,1520,6235,6,67,67,0,1,0,0.09313994846466019,0,10640,0.48026315789473684,567000.0
4,2.5,2570,7173,2.0,0,0,3,8,2570,0,47.7073,-122.11,2630,6026,3,10,10,0,0,-60,0.24402790824001658,0,20560,0.0,615000.0
3,2.5,2320,3980,2.0,0,0,3,8,2320,0,47.5391,-122.07,2580,3980,11,12,12,0,0,-260,0.27055280445784047,0,18560,0.0,570500.0
2,1.5,1190,1265,3.0,0,0,3,7,1190,0,47.7274,-122.357,1390,1756,12,10,10,0,0,-200,0.12373136223286538,0,8330,0.0,375000.0
4,1.75,2330,5000,1.5,0,0,4,7,1510,820,47.6823,-122.368,1460,5000,6,86,86,0,1,870,0.08414285471743492,0,16310,0.351931330472103,544000.0
3,1.0,1090,3000,1.5,0,0,4,8,1090,0,47.6889,-122.375,1570,5080,11,86,86,0,0,-480,0.0931649075564374,0,8720,0.0,544000.0
4,2.75,2060,6659,1.0,0,0,3,7,1280,780,47.4276,-122.157,2020,8720,12,34,34,0,1,40,0.25011591312829584,0,14420,0.3786407766990291,335000.0
3,2.5,2300,3060,1.5,0,0,3,8,1510,790,47.6827,-122.31,1590,3264,6,85,13,0,1,710,0.079628261314681,0,18400,0.34347826086956523,567000.0
4,1.0,1660,34848,1.0,0,0,1,5,930,730,47.6621,-122.132,2160,11467,5,82,82,0,1,-500,0.20776144974464564,0,8300,0.4397590361445783,615000.0
4,2.0,2360,6000,2.0,0,0,4,8,2360,0,47.6702,-122.362,1730,4700,12,111,111,0,0,630,0.07064000283125615,0,18880,0.0,529950.0
4,1.0,1220,8075,1.0,0,0,2,7,890,330,47.3341,-122.282,1290,7800,2,46,46,0,1,-70,0.27667385131233674,0,8540,0.27049180327868855,260000.0
4,2.5,2620,7553,2.0,0,0,3,8,2620,0,47.5301,-122.18,2620,11884,6,19,19,0,0,0,0.1700753362483743,0,20960,0.0,380000.0
4,2.5,2570,5520,2.0,0,0,3,9,2570,0,47.6145,-122.027,2470,5669,7,15,15,0,0,100,0.3052128765304595,0,23130,0.0,642000.0
4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,47.445,-122.347,2410,30617,8,31,31,0,1,1810,0.16188715205352217,0,33760,0.38388625592417064,390000.0
5,2.75,3595,5639,2.0,0,0,3,9,3595,0,47.6848,-122.016,3625,5639,7,1,1,0,0,-30,0.32572560537973516,0,32355,0.0,634900.0
3,1.0,1570,2280,2.0,0,0,3,7,1570,0,47.6413,-122.364,1580,2640,10,93,93,0,0,-10,0.04743015918169012,0,10990,0.0,744975.0
3,1.0,1280,9656,1.0,0,0,4,6,920,360,47.4485,-122.175,1340,8808,7,56,56,0,1,-60,0.22259761903488418,0,7680,0.28125,335000.0
3,2.5,3160,13603,2.0,0,0,3,8,3160,0,47.7443,-121.977,3050,9232,7,12,12,0,0,110,0.3810086875649891,0,25280,0.0,401250.0
3,1.0,990,8528,1.0,0,0,3,6,990,0,47.3066,-122.371,1228,8840,3,49,49,0,0,-238,0.3021148291626856,0,5940,0.0,268450.0
4,2.5,2290,13416,2.0,0,0,4,9,2290,0,47.6194,-122.151,2680,13685,7,34,34,0,0,-390,0.18158042295357776,0,20610,0.0,555000.0
3,1.75,1250,5963,1.0,0,0,4,7,1250,0,47.6796,-122.301,970,5100,4,62,62,0,0,280,0.07971681127591351,0,8750,0.0,567000.0
3,2.5,2753,65005,1.0,1,2,5,9,2165,588,47.4041,-122.451,2680,72513,3,62,62,0,1,73,0.23448159842512112,0,24777,0.21358517980385033,465000.0
3,1.0,1190,9199,1.0,0,0,3,7,1190,0,47.4258,-122.322,1190,9364,9,60,60,0,0,0,0.1806825116053002,0,8330,0.0,278000.0
5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,47.4934,-122.189,1990,9133,2,49,49,0,1,1160,0.18221265049386978,0,25200,0.4793650793650794,380000.0
